Node Label    RF	.Magnitude	RF.RF1	RF.RF2	RF.RF3	U.Magnitude	U.U1	U.U2	U.U3
392	0	0	0	0	25,4497	-2,93E-01	1,84E-01	-25,4473
393	0	0	0	0	25,6701	-4,93E-01	2,89E-01	25,6637
394	0	0	0	0	25,6736	-6,03E-01	5,10E-01	25,6615
395	0	0	0	0	25,6622	-7,72E-01	8,80E-01	25,6355
396	0	0	0	0	25,6781	-8,86E-01	1,25669	25,632
397	0	0	0	0	24,7551	-9,04E-01	-5,77601	24,0549
398	0	0	0	0	26,0304	-8,40E-01	-13,1465	22,451
399	0	0	0	0	29,26	-7,75E-01	-20,5169	20,8471
400	0	0	0	0	33,8897	-7,11E-01	-27,8874	19,2432
401	0	0	0	0	39,4294	-6,47E-01	-35,2578	17,6393
402	0	0	0	0	45,5483	-5,83E-01	-42,6283	16,0354
403	0	0	0	0	52,0424	-5,19E-01	-49,9988	14,4316
404	0	0	0	0	58,7876	-4,55E-01	-57,3692	12,8277
405	0	0	0	0	65,7066	-3,91E-01	-64,7397	11,2238
406	0	0	0	0	72,7497	-3,27E-01	-72,1101	9,6199
407	0	0	0	0	79,8842	-2,62E-01	-79,4806	8,01602
408	0	0	0	0	87,0877	-1,98E-01	-86,8511	6,41213
409	0	0	0	0	94,3442	-1,34E-01	-94,2215	4,80824
410	0	0	0	0	101,643	-7,01E-02	-101,592	3,20436
